source	target
H00064	hsa03440
H00064	hsa04110
H00064	hsa04218
H00094	hsa03440
H00703	hsa04260
H01025	hsa03410
H00656	hsa04260
H00594	hsa04141
H00594	hsa04260
H01216	hsa04260
H02061	hsa04915
H02061	hsa04917
H01368	hsa00190
H01368	hsa04260
H01338	hsa04151
H01338	hsa04510
H01338	hsa04512
H01341	hsa04151
H01341	hsa04510
H01341	hsa04512
H01340	hsa04151
H01340	hsa04510
H01340	hsa04512
H01778	hsa04151
H01778	hsa04510
H01778	hsa04512
H00068	hsa00190
H01354	hsa00190
H00787	hsa04724
H00606	hsa04723
H00606	hsa04724
H00606	hsa04726
H00606	hsa04727
H00606	hsa04728
H00274	hsa04142
H00696	hsa04142
H02050	hsa04142
H00135	hsa00600
H00135	hsa04142
H00425	hsa04142
H00425	hsa04612
H00423	hsa00600
H00423	hsa04142
H00226	hsa04510
H00226	hsa04512
H01740	hsa04151
H01740	hsa04510
H01740	hsa04810
H01065	hsa00040
H00408	hsa04660
H02381	hsa04714
H00658	hsa04120
H02192	hsa04976
H02192	hsa04979
H00624	hsa04976
H00624	hsa04979
H00255	hsa04810
H00599	hsa04913
H00627	hsa04913
H00264	hsa00970
H00931	hsa04012
H00854	hsa04141
H00409	hsa04141
H01202	hsa04141
H00897	hsa03015
H00897	hsa03018
H01821	hsa00440
H01821	hsa00564
H00824	hsa00240
H00824	hsa00760
H01936	hsa00860
H01565	hsa04977
H00942	hsa04520
H00942	hsa04960
H00719	hsa04520
H00719	hsa04960
H01228	hsa04520
H01228	hsa04960
H00238	hsa03460
H00823	hsa04020
H00823	hsa04080
H00823	hsa04916
H00910	hsa04020
H00910	hsa04080
H00759	hsa04020
H00759	hsa04080
H00759	hsa04916
H00485	hsa04310
H01274	hsa04520
H01274	hsa04730
H00916	hsa04010
H01889	hsa04110
H01960	hsa00515
H01959	hsa00515
H00120	hsa00515
H02307	hsa00515
H00593	hsa00514
H00593	hsa00515
H02057	hsa04976
H00208	hsa04976
H00831	hsa04976
H01372	hsa04621
H01748	hsa04621
H02326	hsa04310
H00897	hsa00970
H00118	hsa00510
H01671	hsa04080
H01671	hsa04728
H01895	hsa04080
H01895	hsa04728
H01450	hsa04728
H01611	hsa04080
H01037	hsa04310
H00150	hsa04142
H00631	hsa04114
H02330	hsa00561
H02330	hsa04972
H02330	hsa04975
H02330	hsa04977
H02042	hsa04064
H02042	hsa04380
H00437	hsa04380
H00436	hsa04380
H02316	hsa04927
H00266	hsa04144
H00145	hsa00511
H00145	hsa04142
H00139	hsa00511
H00139	hsa04142
H01111	hsa00030
H00944	hsa00514
H00422	hsa00511
H00422	hsa04142
